recv_ts_ms,latency_ms
1755109221077,-28.32
1755109221515,-28.11
1755109221518,-28.49
1755109221951,-28.23
1755109221953,-28.93
1755109222394,-29.34
1755109222397,-30.25
1755109222846,-17.97
1755109222850,-17.44
1755109223336,31.69
1755109223336,28.68
1755109223759,19.05
1755109223759,15.29
1755109224150,-29.38
1755109224153,-30.75
1755109224590,-28.05
1755109224593,-29.44
1755109225019,-29.07
1755109225022,-29.42
1755109225462,-28.36
1755109225465,-28.81
1755109225898,-29.19
1755109225902,-29.25
1755109226430,34.99
1755109226431,31.27
1755109226805,-25.77
1755109226810,-25.87
1755109227237,-29.23
1755109227241,-29.45
1755109227681,-29.28
1755109227684,-30.29
1755109228158,8.68
1755109228159,4.87
1755109228583,-0.51
1755109228591,3.21
1755109228989,-27.97
1755109228994,-26.38
1755109229441,-6.82
1755109229445,-6.29
1755109229913,30.29
1755109229913,27.15
1755109230295,-28.15
1755109230298,-28.78
1755109230727,-29.88
1755109230731,-28.63
1755109231163,-29.33
1755109231166,-30.64
1755109231595,-28.23
1755109231598,-28.29
1755109232026,-29.59
1755109232029,-29.91
1755109232456,-27.72
1755109232459,-27.66
1755109232894,-29.26
1755109232897,-29.36
1755109233395,37.34
1755109233395,33.83
1755109233764,-26.05
1755109233767,-26.19
1755109234204,-29.45
1755109234207,-30.54
1755109234639,-28.98
1755109234642,-30.50
1755109235077,-29.47
1755109235082,-28.70
1755109235544,-3.00
1755109235544,-6.50
1755109235956,-26.25
1755109235960,-26.14
1755109236467,11.91
1755109236467,8.09
1755109236860,-29.36
1755109236864,-28.59
1755109237299,-29.32
1755109237304,-28.27
1755109237735,-27.74
1755109237737,-28.47
1755109238172,-29.22
1755109238175,-30.10
1755109238607,-29.05
1755109238610,-28.66
1755109239038,-28.44
1755109239042,-28.40
1755109239471,-29.39
1755109239475,-28.69
1755109239950,15.26
1755109239950,11.64
1755109240340,-29.23
1755109240343,-29.80
1755109240782,-28.16
1755109240784,-29.11
1755109241280,31.29
1755109241280,27.97
1755109241652,-27.86
1755109241655,-28.74
1755109242090,-29.40
1755109242094,-29.87
1755109242612,44.85
1755109242612,40.91
1755109242971,-28.82
1755109242975,-29.06
1755109243408,-29.43
1755109243412,-29.43
1755109243839,-29.35
1755109243843,-29.47
1755109244279,-29.41
1755109244283,-29.66
1755109244714,-28.45
1755109244717,-31.17
1755109245147,-29.17
1755109245150,-30.71
1755109245580,-28.59
1755109245583,-29.82
1755109246092,48.99
1755109246093,44.90
1755109246454,-29.49
1755109246458,-29.13
1755109246893,-28.85
1755109246896,-30.64
1755109247331,-29.19
1755109247336,-28.46
1755109247764,-29.14
1755109247768,-28.70
1755109248200,-29.27
1755109248205,-29.17
1755109248641,-29.41
1755109248645,-29.82
1755109249079,-26.44
1755109249080,-31.98
1755109249514,-29.36
1755109249518,-29.56
1755109249953,-27.79
1755109249956,-28.41
1755109250387,-29.70
1755109250392,-29.36
1755109250823,-26.57
1755109250824,-31.35
1755109251286,-29.01
1755109251293,-26.16
1755109251718,-29.37
1755109251723,-28.56
1755109252151,-25.31
1755109252154,-25.39
1755109252588,-26.99
1755109252589,-29.00
1755109253056,-1.20
1755109253056,-4.98
1755109253465,-28.44
1755109253467,-29.04
1755109253906,-29.58
1755109253911,-28.96
1755109254351,-28.44
1755109254354,-29.22
1755109254791,-29.16
1755109254795,-29.32
1755109255224,-29.09
1755109255228,-28.72
1755109255662,-26.49
1755109255665,-27.39
1755109256112,-16.10
1755109256116,-15.75
1755109256538,-29.36
1755109256542,-29.39
1755109257049,47.77
1755109257049,43.98
1755109257414,-27.96
1755109257417,-28.91
1755109257847,-29.42
1755109257850,-30.45
1755109258281,-25.91
1755109258286,-24.66
1755109258714,-29.37
1755109258718,-30.44
1755109259199,21.78
1755109259200,18.69
1755109259597,-29.12
1755109259601,-30.34
1755109260034,-28.41
1755109260036,-30.74
1755109260532,31.40
1755109260532,26.98
1755109260940,-6.09
1755109260948,-1.75
1755109261351,-25.97
1755109261356,-24.57
1755109261786,-29.57
1755109261791,-28.09
